Id_hp,Nama_hp,Brand,Harga,Ram,Memori_internal,Ukuran_layar,Resolusi_kamera,Kapasitas_baterai,Os,Rating_pengguna,Tahun_rilis,Stok_tersedia,Label
19,Apple Max 28,Apple,8449640,6,128,5.5,12MP,4000,iOS,3.3,12/16/2023,True,Daily
20,Apple Max 29,Apple,3402718,4,128,6.7,12MP,6000,iOS,1.6,2019-02-01 00:00:00,True,Daily
21,Apple Max 30,Apple,10411362,6,256,5.5,48MP,4000,iOS,2.8,8/24/2019,False,Daily
22,Apple Max 5,Apple,15442469,16,256,5.5,64MP,4000,iOS,4.4,5/31/2020,False,Photographer
23,Apple Max 5,Apple,17123941,16,128,6.4,50MP,4000,iOS,4.8,2019-12-11 00:00:00,True,Photographer
24,Apple Max 5,Apple,20254986,6,128,6.1,50MP,4500,iOS,1.4,2/18/2021,False,Daily
25,Apple Max 5,Apple,9280860,6,256,6.8,50MP,4500,iOS,1.5,2023-06-06 00:00:00,True,Photographer
26,Apple Max 5,Apple,9555500,12,256,6.8,48MP,6000,iOS,4.8,2019-03-03 00:00:00,True,Gaming
27,Apple Max 9,Apple,12141033,6,256,6.5,50MP,4000,iOS,2.5,12/29/2022,False,Photographer
28,Apple Max 9,Apple,5883702,12,512,6.5,48MP,4000,iOS,2.1,2023-04-04 00:00:00,False,Daily
29,Apple Note 10,Apple,20053217,4,128,5.5,12MP,6000,iOS,1.2,12/20/2019,True,Daily
30,Apple Note 11,Apple,21383588,6,256,6.8,12MP,5000,iOS,3.2,2023-08-04 00:00:00,True,Daily
31,Apple Note 12,Apple,10016953,12,512,6.5,48MP,6000,iOS,4.9,9/30/2019,False,Gaming
32,Apple Note 12,Apple,11403512,4,128,6.7,50MP,4500,iOS,1.2,4/21/2021,False,Photographer
33,Apple Note 13,Apple,2227853,8,512,6.7,108MP,4500,iOS,4.6,10/27/2020,False,Photographer
34,Apple Note 17,Apple,21438073,12,64,6.1,64MP,6000,iOS,1.2,12/27/2020,False,Photographer
35,Apple Note 17,Apple,3170962,16,512,6.5,12MP,4000,iOS,2.6,2024-08-02 00:00:00,True,Daily
36,Apple Note 17,Apple,18937176,12,512,6.7,64MP,6000,iOS,2.6,2023-10-12 00:00:00,False,Gaming
37,Apple Note 18,Apple,7876796,16,512,6.8,12MP,5000,iOS,1.9,8/16/2020,True,Gaming
38,Apple Note 19,Apple,20594805,12,64,6.4,108MP,4000,iOS,1.5,2024-09-03 00:00:00,False,Photographer
39,Apple Note 21,Apple,15024026,16,128,6.7,64MP,5000,iOS,3.3,4/18/2023,False,Gaming
40,Apple Note 21,Apple,19425846,6,64,6.4,48MP,4500,iOS,1.6,11/28/2022,True,Daily
41,Apple Note 23,Apple,24700285,6,64,6.8,12MP,4500,iOS,4.1,9/16/2021,False,Daily
42,Apple Note 23,Apple,24469837,8,64,6.1,50MP,4500,iOS,3.2,2022-05-07 00:00:00,True,Daily
43,Apple Note 27,Apple,16924171,16,128,6.1,108MP,4000,iOS,2.0,2019-09-01 00:00:00,False,Photographer
44,Apple Note 30,Apple,9539529,16,512,6.5,12MP,6000,iOS,4.1,2021-12-04 00:00:00,True,Gaming
45,Apple Note 30,Apple,13864284,4,512,6.8,108MP,4500,iOS,1.6,10/13/2021,True,Photographer
46,Apple Note 5,Apple,8106752,16,256,6.5,50MP,4000,iOS,3.4,2/19/2021,False,Photographer
47,Apple Note 6,Apple,7653125,4,128,6.5,108MP,5000,iOS,2.5,1/20/2023,True,Photographer
48,Apple Note 9,Apple,23125022,16,64,6.5,108MP,4000,iOS,2.1,2021-05-07 00:00:00,False,Photographer
49,Apple Pro 10,Apple,6667904,4,128,6.5,48MP,4000,iOS,3.4,2/29/2024,False,Daily
50,Apple Pro 11,Apple,10444980,4,64,6.8,48MP,4500,iOS,2.3,3/19/2022,False,Daily
51,Apple Pro 15,Apple,3112708,4,256,6.1,64MP,6000,iOS,4.4,9/16/2019,True,Photographer
52,Apple Pro 16,Apple,4620844,4,512,6.7,48MP,4000,iOS,1.5,2022-11-01 00:00:00,True,Daily
53,Apple Pro 16,Apple,23054554,8,512,6.1,12MP,5000,iOS,2.6,12/23/2020,True,Daily
54,Apple Pro 18,Apple,8625080,12,256,6.4,108MP,6000,iOS,1.5,2023-02-09 00:00:00,True,Photographer
55,Apple Pro 20,Apple,22908533,6,256,6.1,108MP,6000,iOS,3.3,3/22/2021,False,Photographer
56,Apple Pro 21,Apple,8139005,6,512,5.5,64MP,5000,iOS,1.6,2023-11-02 00:00:00,False,Photographer
57,Apple Pro 23,Apple,4023723,4,64,6.8,108MP,6000,iOS,2.7,3/16/2021,False,Photographer
58,Apple Pro 23,Apple,21233299,12,128,6.4,108MP,4000,iOS,3.3,12/30/2020,False,Photographer
59,Apple Pro 23,Apple,24970582,12,256,6.7,108MP,4000,iOS,3.4,12/20/2019,True,Photographer
60,Apple Pro 24,Apple,4981548,4,256,6.4,50MP,4000,iOS,4.9,12/26/2023,False,Photographer
61,Apple Pro 26,Apple,23786395,6,512,6.7,64MP,4000,iOS,4.2,4/30/2019,False,Photographer
62,Apple Pro 26,Apple,7115864,4,512,6.5,48MP,6000,iOS,1.5,1/20/2021,False,Daily
63,Apple Pro 26,Apple,15426385,4,512,6.4,108MP,6000,iOS,2.5,2019-07-02 00:00:00,True,Photographer
64,Apple Pro 26,Apple,12127511,12,512,6.4,12MP,6000,iOS,2.9,2019-10-03 00:00:00,True,Daily
65,Apple Pro 28,Apple,16091014,12,256,6.8,108MP,5000,iOS,3.7,3/22/2023,True,Gaming
66,Apple Pro 29,Apple,20266284,12,128,6.8,108MP,6000,iOS,1.3,2019-07-03 00:00:00,False,Gaming
67,Apple Pro 29,Apple,6096770,6,512,6.5,64MP,4000,iOS,1.7,6/23/2022,False,Photographer
68,Apple Pro 30,Apple,11798468,6,512,6.5,50MP,6000,iOS,2.6,2024-03-03 00:00:00,True,Photographer
69,Apple Pro 6,Apple,23381908,8,256,6.4,48MP,4000,iOS,4.0,11/25/2020,True,Daily
70,Apple Pro 7,Apple,10794912,6,128,5.5,108MP,6000,iOS,1.9,6/22/2020,True,Photographer
71,Apple Ultra 10,Apple,14193353,16,512,6.8,48MP,4000,iOS,3.2,2021-03-02 00:00:00,False,Daily
72,Apple Ultra 10,Apple,13824991,12,256,6.4,12MP,5000,iOS,3.5,5/17/2022,False,Daily
73,Apple Ultra 11,Apple,6943201,8,128,6.1,64MP,6000,iOS,2.0,3/13/2022,False,Photographer
74,Apple Ultra 12,Apple,1640837,8,256,6.1,108MP,5000,iOS,3.0,2021-07-07 00:00:00,True,Photographer
75,Apple Ultra 12,Apple,3955206,6,64,6.1,108MP,5000,iOS,2.5,2023-12-07 00:00:00,False,Photographer
76,Apple Ultra 13,Apple,11449582,4,64,6.7,12MP,5000,iOS,1.8,2022-06-05 00:00:00,True,Daily
77,Apple Ultra 14,Apple,12717545,4,64,6.1,64MP,6000,iOS,2.3,7/21/2019,True,Photographer
78,Apple Ultra 14,Apple,20525361,16,256,5.5,48MP,6000,iOS,3.6,1/29/2022,False,Gaming
79,Apple Ultra 17,Apple,5641772,6,64,6.7,48MP,6000,iOS,4.2,3/25/2020,False,Daily
80,Apple Ultra 17,Apple,3195589,12,64,6.7,108MP,4500,iOS,4.5,2019-07-09 00:00:00,False,Photographer
81,Apple Ultra 18,Apple,17844033,6,64,6.8,12MP,5000,iOS,1.3,1/14/2023,True,Daily
82,Apple Ultra 18,Apple,14163933,4,128,6.1,108MP,5000,iOS,4.5,1/21/2024,False,Photographer
83,Apple Ultra 18,Apple,7495284,12,256,6.1,108MP,4500,iOS,4.4,2019-11-11 00:00:00,False,Photographer
84,Apple Ultra 19,Apple,18328430,6,64,5.5,108MP,6000,iOS,1.9,2024-12-04 00:00:00,False,Photographer
85,Apple Ultra 19,Apple,16876410,12,512,6.5,12MP,4000,iOS,1.7,7/30/2023,True,Daily
86,Apple Ultra 19,Apple,6072521,8,64,6.5,48MP,5000,iOS,3.0,5/24/2024,False,Daily
87,Apple Ultra 20,Apple,4937180,4,64,6.5,48MP,4000,iOS,2.8,2/20/2020,False,Daily
88,Apple Ultra 25,Apple,10282576,6,512,6.8,48MP,4500,iOS,2.0,2022-06-04 00:00:00,True,Daily
89,Apple Ultra 25,Apple,23567108,12,512,5.5,108MP,4500,iOS,4.5,2019-04-12 00:00:00,False,Photographer
90,Apple Ultra 25,Apple,18749053,12,256,5.5,108MP,6000,iOS,4.2,9/27/2019,False,Photographer
91,Apple Ultra 27,Apple,8204432,16,512,6.7,12MP,5000,iOS,1.9,10/29/2020,False,Gaming
92,Apple Ultra 27,Apple,6860716,16,256,6.1,108MP,4500,iOS,1.3,2/24/2024,False,Photographer
93,Apple Ultra 28,Apple,21198658,8,64,6.4,12MP,4500,iOS,1.3,10/26/2019,True,Daily
94,Apple Ultra 6,Apple,2908243,12,256,5.5,12MP,4000,iOS,3.6,5/23/2024,True,Daily
95,Apple Ultra 8,Apple,19208177,4,512,6.8,64MP,6000,iOS,2.5,2/28/2024,False,Photographer
96,Apple Ultra 9,Apple,19607857,8,256,5.5,64MP,5000,iOS,2.2,2/24/2020,True,Photographer
97,Asus Max 10,Asus,8958779,6,256,5.5,50MP,5000,Android,2.7,2020-09-05 00:00:00,False,Daily
98,Asus Max 10,Asus,3889741,12,512,6.1,48MP,5000,Android,3.2,5/27/2022,True,Daily
99,Asus Max 13,Asus,19945806,8,256,6.4,108MP,4000,Android,1.1,2023-11-12 00:00:00,True,Photographer
100,Asus Max 13,Asus,8002176,6,128,6.7,108MP,4000,Android,4.0,9/14/2019,True,Photographer
101,Asus Max 14,Asus,24416327,8,128,6.4,108MP,4500,Android,1.3,8/25/2021,True,Photographer
102,Asus Max 14,Asus,20561462,12,512,6.5,64MP,4000,Android,4.3,2/18/2024,False,Photographer
103,Asus Max 14,Asus,7832381,12,512,6.4,108MP,5000,Android,2.7,2/16/2023,False,Photographer
104,Asus Max 15,Asus,11140337,16,512,6.5,12MP,4000,Android,4.2,8/21/2022,False,Daily
105,Asus Max 17,Asus,7322020,16,256,6.7,108MP,4500,Android,3.3,2022-12-12 00:00:00,True,Photographer
106,Asus Max 17,Asus,8868509,4,512,6.4,48MP,4500,Android,2.1,7/19/2023,True,Daily
107,Asus Max 18,Asus,6433219,4,512,6.7,50MP,4000,Android,2.3,2023-01-05 00:00:00,True,Photographer
108,Asus Max 20,Asus,24582307,6,128,6.5,12MP,4500,Android,1.1,2020-08-12 00:00:00,False,Daily
109,Asus Max 21,Asus,16332991,8,512,5.5,64MP,6000,Android,3.7,2023-05-04 00:00:00,False,Photographer
110,Asus Max 23,Asus,18395227,4,128,6.4,12MP,5000,Android,3.3,3/19/2020,False,Daily
111,Asus Max 23,Asus,15531434,4,512,6.8,50MP,5000,Android,2.5,2/28/2020,True,Photographer
112,Asus Max 24,Asus,6967591,16,512,6.1,108MP,6000,Android,2.9,2020-10-07 00:00:00,False,Photographer
113,Asus Max 26,Asus,17959493,4,256,6.4,50MP,5000,Android,2.2,2022-07-02 00:00:00,False,Photographer
114,Asus Max 28,Asus,17543754,12,64,6.4,12MP,4000,Android,1.0,2020-02-02 00:00:00,True,Daily
115,Asus Max 29,Asus,10698492,16,512,6.7,50MP,5000,Android,2.2,3/27/2024,True,Gaming
116,Asus Max 29,Asus,4333907,12,64,6.5,50MP,5000,Android,2.0,5/24/2023,True,Gaming
117,Asus Max 30,Asus,17589896,6,64,6.7,48MP,4500,Android,4.5,4/28/2024,False,Daily
118,Asus Max 30,Asus,7866160,8,512,6.4,12MP,4500,Android,3.8,2020-11-08 00:00:00,False,Daily
119,Asus Max 5,Asus,19179698,12,256,6.4,50MP,5000,Android,1.3,2024-02-04 00:00:00,False,Photographer
120,Asus Max 6,Asus,14180257,8,256,6.4,50MP,4500,Android,3.7,2019-03-11 00:00:00,True,Photographer
121,Asus Max 7,Asus,16258773,4,64,6.1,12MP,6000,Android,2.9,2024-08-05 00:00:00,True,Daily
122,Asus Max 8,Asus,10383320,16,256,6.8,50MP,5000,Android,4.4,5/22/2020,True,Gaming
123,Asus Max 8,Asus,6152007,8,64,6.8,48MP,6000,Android,4.4,8/22/2023,True,Daily
124,Asus Max 9,Asus,22902608,16,256,6.1,64MP,4000,Android,2.9,2021-02-05 00:00:00,False,Photographer
125,Asus Max 9,Asus,20334530,6,512,6.4,50MP,5000,Android,4.9,2019-10-02 00:00:00,False,Photographer
126,Asus Max 9,Asus,4438166,12,128,5.5,12MP,6000,Android,3.3,5/17/2023,False,Daily
127,Asus Max 9,Asus,8838953,16,128,6.4,48MP,4500,Android,1.4,5/21/2020,False,Gaming
128,Asus Note 11,Asus,22055924,6,64,6.1,108MP,4500,Android,1.8,2022-02-08 00:00:00,True,Photographer
129,Asus Note 12,Asus,7273202,4,64,6.1,50MP,4000,Android,1.5,6/13/2023,True,Daily
130,Asus Note 12,Asus,4655928,16,128,6.5,12MP,4500,Android,4.1,2023-11-05 00:00:00,False,Gaming
131,Asus Note 13,Asus,23768423,8,64,5.5,50MP,4000,Android,2.5,2020-07-10 00:00:00,True,Daily
132,Asus Note 14,Asus,13563255,8,256,6.1,64MP,4500,Android,4.6,10/23/2022,True,Photographer
133,Asus Note 14,Asus,11846718,6,128,6.4,64MP,4000,Android,4.9,7/22/2020,True,Photographer
134,Asus Note 15,Asus,8042556,16,256,6.1,108MP,4000,Android,4.4,2022-11-10 00:00:00,True,Photographer
135,Asus Note 16,Asus,2387778,4,256,6.1,50MP,4500,Android,3.3,4/20/2020,True,Daily
136,Asus Note 16,Asus,17504991,4,64,5.5,50MP,5000,Android,1.3,6/15/2019,False,Daily
137,Asus Note 17,Asus,13228493,16,64,5.5,12MP,4000,Android,2.1,7/22/2023,True,Daily
138,Asus Note 18,Asus,19703490,16,64,6.8,12MP,4500,Android,4.3,5/14/2020,False,Gaming
139,Asus Note 19,Asus,21723060,6,128,6.8,64MP,6000,Android,2.9,10/18/2021,False,Photographer
140,Asus Note 19,Asus,7128044,12,64,5.5,108MP,6000,Android,1.2,2020-10-12 00:00:00,True,Photographer
141,Asus Note 21,Asus,16614117,6,256,6.1,50MP,4500,Android,3.0,11/24/2022,True,Daily
142,Asus Note 23,Asus,13093582,16,256,6.5,12MP,4000,Android,2.8,9/16/2023,True,Daily
143,Asus Note 23,Asus,6674769,12,128,6.5,108MP,5000,Android,3.5,9/25/2022,False,Gaming
144,Asus Note 24,Asus,10813650,12,128,6.4,12MP,5000,Android,3.9,2021-11-03 00:00:00,True,Daily
145,Asus Note 25,Asus,12357707,8,256,6.7,48MP,4000,Android,1.2,8/23/2020,True,Daily
146,Asus Note 27,Asus,7344103,8,256,6.1,50MP,5000,Android,1.9,2/17/2019,False,Daily
147,Asus Note 28,Asus,11213849,16,512,5.5,64MP,4500,Android,2.4,3/24/2020,False,Photographer
148,Asus Note 30,Asus,18481957,12,512,6.5,108MP,5000,Android,4.1,7/19/2021,True,Gaming
149,Asus Note 6,Asus,15160268,8,64,6.7,12MP,5000,Android,4.6,2019-01-05 00:00:00,True,Daily
150,Asus Note 6,Asus,15515142,8,512,6.8,50MP,4500,Android,3.2,5/19/2021,True,Photographer
151,Asus Note 7,Asus,17642366,6,512,6.8,108MP,5000,Android,4.3,12/31/2022,True,Photographer
152,Asus Note 9,Asus,10226485,8,256,5.5,108MP,5000,Android,4.5,8/18/2019,True,Photographer
153,Asus Pro 10,Asus,8909174,12,64,6.5,48MP,5000,Android,3.9,7/29/2021,True,Gaming
154,Asus Pro 10,Asus,11180445,6,128,5.5,48MP,4000,Android,1.6,2020-08-08 00:00:00,True,Daily
155,Asus Pro 11,Asus,17343299,4,128,6.7,64MP,4000,Android,1.1,2019-02-11 00:00:00,False,Photographer
156,Asus Pro 12,Asus,2191706,6,64,6.1,64MP,4500,Android,4.3,1/29/2020,True,Photographer
157,Asus Pro 13,Asus,15527658,4,64,6.1,48MP,4500,Android,1.6,10/21/2021,False,Daily
158,Asus Pro 16,Asus,14809339,12,256,6.4,12MP,6000,Android,4.9,2/15/2023,True,Daily
159,Asus Pro 17,Asus,2655950,12,256,6.7,12MP,6000,Android,4.4,2023-10-09 00:00:00,True,Gaming
160,Asus Pro 18,Asus,21469645,4,512,6.5,108MP,6000,Android,3.2,4/27/2023,False,Photographer
161,Asus Pro 18,Asus,14964658,12,512,6.1,48MP,5000,Android,1.5,2021-06-11 00:00:00,True,Daily
162,Asus Pro 18,Asus,6413894,8,512,6.4,108MP,5000,Android,3.1,6/28/2023,False,Photographer
163,Asus Pro 19,Asus,9894258,16,64,5.5,64MP,6000,Android,4.8,3/20/2022,False,Photographer
164,Asus Pro 19,Asus,19300084,16,64,6.1,12MP,6000,Android,1.6,2020-01-05 00:00:00,False,Gaming
165,Asus Pro 19,Asus,10332412,12,256,6.1,50MP,4500,Android,1.1,1/14/2020,True,Daily
166,Asus Pro 19,Asus,24424506,6,256,6.8,50MP,6000,Android,1.6,3/24/2019,False,Photographer
167,Asus Pro 19,Asus,6296609,4,64,6.1,108MP,4000,Android,1.8,2024-04-04 00:00:00,False,Photographer
168,Asus Pro 21,Asus,12660513,6,64,5.5,64MP,4500,Android,1.3,10/21/2021,True,Photographer
169,Asus Pro 22,Asus,20573424,8,128,6.1,50MP,4500,Android,3.9,5/30/2019,False,Daily
170,Asus Pro 22,Asus,16569886,6,512,6.1,64MP,5000,Android,5.0,1/24/2023,True,Photographer
171,Asus Pro 23,Asus,11669763,12,64,6.7,48MP,6000,Android,3.6,2023-03-09 00:00:00,True,Gaming
172,Asus Pro 24,Asus,14716471,16,128,6.8,12MP,4000,Android,1.0,2023-04-11 00:00:00,False,Daily
173,Asus Pro 25,Asus,2613823,8,256,6.1,108MP,5000,Android,3.3,1/25/2021,False,Photographer
174,Asus Pro 25,Asus,9298992,8,128,6.4,108MP,5000,Android,2.3,2021-03-12 00:00:00,False,Photographer
175,Asus Pro 27,Asus,16955640,8,512,6.1,48MP,4000,Android,1.0,2024-01-01 00:00:00,True,Daily
176,Asus Pro 30,Asus,3597207,6,256,6.1,12MP,4000,Android,3.8,8/22/2023,False,Daily
177,Asus Pro 30,Asus,22662403,12,256,6.7,50MP,4500,Android,3.8,2024-03-05 00:00:00,True,Photographer
178,Asus Pro 5,Asus,12877788,8,256,6.7,108MP,4500,Android,4.5,9/13/2022,True,Photographer
179,Asus Pro 5,Asus,4156483,6,256,6.4,48MP,4500,Android,2.6,2023-02-08 00:00:00,False,Daily
180,Asus Pro 6,Asus,22621182,8,512,6.8,50MP,4000,Android,1.0,2019-12-07 00:00:00,True,Photographer
181,Asus Pro 6,Asus,3822569,8,128,5.5,50MP,6000,Android,3.3,3/20/2021,False,Daily
182,Asus Pro 7,Asus,9436982,4,256,6.4,64MP,5000,Android,4.7,1/23/2020,True,Photographer
183,Asus Pro 8,Asus,22902837,6,256,6.1,50MP,4000,Android,2.3,3/22/2022,False,Daily
184,Asus Pro 9,Asus,1916622,12,256,6.8,50MP,4500,Android,2.9,7/29/2022,False,Photographer
185,Asus Ultra 11,Asus,23911297,12,128,5.5,48MP,4500,Android,3.1,2021-03-10 00:00:00,True,Daily
186,Asus Ultra 11,Asus,18559606,4,512,6.1,108MP,4000,Android,3.7,8/18/2021,True,Photographer
187,Asus Ultra 12,Asus,16498244,16,64,5.5,50MP,4000,Android,4.9,9/30/2023,True,Daily
188,Asus Ultra 12,Asus,18444839,4,512,6.4,64MP,4000,Android,4.7,1/23/2023,False,Photographer
189,Asus Ultra 14,Asus,11840477,4,64,6.8,12MP,6000,Android,2.3,2023-08-04 00:00:00,False,Daily
190,Asus Ultra 15,Asus,9837235,16,256,6.8,108MP,6000,Android,2.9,11/16/2022,True,Gaming
191,Asus Ultra 15,Asus,16493217,6,256,6.1,64MP,4500,Android,3.8,2019-10-03 00:00:00,False,Photographer
192,Asus Ultra 16,Asus,4320043,4,512,6.8,12MP,4000,Android,4.6,2/22/2020,False,Daily
193,Asus Ultra 16,Asus,14889490,4,256,6.5,12MP,6000,Android,2.6,12/31/2021,True,Daily
194,Asus Ultra 16,Asus,3844843,4,256,6.7,108MP,5000,Android,1.6,1/30/2021,True,Photographer
195,Asus Ultra 17,Asus,13673909,8,128,6.1,64MP,4000,Android,3.4,9/25/2019,False,Photographer
196,Asus Ultra 17,Asus,2308865,16,128,5.5,108MP,4000,Android,1.7,6/23/2024,False,Photographer
197,Asus Ultra 18,Asus,10306152,6,64,6.7,108MP,4000,Android,2.0,8/28/2020,False,Photographer
198,Asus Ultra 19,Asus,3615265,8,256,5.5,64MP,5000,Android,2.8,2021-06-02 00:00:00,False,Photographer
199,Asus Ultra 19,Asus,15792442,12,256,6.1,12MP,4000,Android,1.6,5/18/2019,True,Daily
200,Asus Ultra 20,Asus,5657669,12,256,6.1,64MP,4000,Android,4.4,2020-08-01 00:00:00,True,Photographer
201,Asus Ultra 23,Asus,19774766,6,128,6.7,48MP,4000,Android,4.7,2024-12-03 00:00:00,False,Daily
202,Asus Ultra 25,Asus,24196492,8,128,6.4,50MP,5000,Android,4.8,2/14/2022,False,Photographer
203,Asus Ultra 26,Asus,2757041,16,512,6.5,50MP,5000,Android,4.7,4/22/2022,False,Gaming
204,Asus Ultra 27,Asus,15530082,16,256,6.1,108MP,4000,Android,2.8,12/30/2022,False,Photographer
205,Asus Ultra 28,Asus,13922313,4,256,6.7,108MP,5000,Android,2.8,2019-05-06 00:00:00,True,Photographer
206,Asus Ultra 28,Asus,21095525,12,64,6.1,108MP,5000,Android,1.4,9/29/2021,False,Photographer
207,Asus Ultra 29,Asus,11572748,6,128,6.4,12MP,4000,Android,1.7,11/18/2020,False,Daily
208,Asus Ultra 30,Asus,5323457,6,256,6.5,108MP,5000,Android,1.9,2020-12-09 00:00:00,True,Photographer
209,Asus Ultra 6,Asus,14913761,4,128,6.8,108MP,6000,Android,3.3,2021-11-09 00:00:00,False,Photographer
210,Asus Ultra 7,Asus,16742071,16,256,6.7,50MP,4500,Android,3.2,6/20/2019,True,Gaming
211,Asus Ultra 7,Asus,2978905,16,256,6.4,108MP,4500,Android,4.7,2022-11-04 00:00:00,True,Photographer
212,Asus Ultra 7,Asus,12949223,6,128,6.7,12MP,6000,Android,4.3,2020-11-05 00:00:00,False,Daily
213,Asus Ultra 8,Asus,9950866,12,256,6.4,12MP,5000,Android,2.4,11/27/2023,False,Daily
214,Asus Ultra 9,Asus,10129005,12,256,6.4,48MP,4500,Android,4.1,1/16/2022,True,Daily
215,Huawei Max 10,Huawei,14677856,8,128,6.1,48MP,4000,Android,1.0,6/24/2023,True,Daily
216,Huawei Max 13,Huawei,6737009,12,128,5.5,108MP,4000,Android,3.2,5/22/2024,True,Photographer
217,Huawei Max 13,Huawei,8398506,12,64,6.4,48MP,4000,Android,1.4,2020-02-11 00:00:00,False,Daily
218,Huawei Max 14,Huawei,7550312,16,128,6.8,50MP,4500,Android,1.3,1/16/2023,True,Gaming
219,Huawei Max 14,Huawei,12940396,12,256,6.1,48MP,4000,Android,4.5,5/30/2020,False,Daily
220,Huawei Max 15,Huawei,5023372,6,512,6.1,50MP,5000,Android,4.4,9/30/2021,True,Daily
221,Huawei Max 15,Huawei,18325530,4,256,6.5,50MP,4000,Android,1.5,6/28/2021,True,Photographer
222,Huawei Max 16,Huawei,8163221,4,256,6.7,64MP,6000,Android,2.5,8/14/2023,True,Photographer
223,Huawei Max 17,Huawei,11114640,16,512,6.8,48MP,5000,Android,2.6,7/27/2020,True,Gaming
224,Huawei Max 18,Huawei,6301481,8,256,6.1,50MP,5000,Android,3.0,12/23/2023,False,Daily
225,Huawei Max 19,Huawei,8127814,16,256,6.1,50MP,6000,Android,2.8,2019-11-03 00:00:00,False,Gaming
226,Huawei Max 20,Huawei,10777097,4,512,5.5,108MP,4500,Android,1.6,2023-04-12 00:00:00,False,Photographer
227,Huawei Max 23,Huawei,10368952,4,64,6.1,108MP,4500,Android,3.7,2/27/2020,False,Photographer
228,Huawei Max 24,Huawei,3352934,4,128,5.5,12MP,6000,Android,3.0,2019-08-10 00:00:00,True,Daily
229,Huawei Max 24,Huawei,19250657,4,128,6.8,64MP,4500,Android,3.5,11/15/2020,False,Photographer
230,Huawei Max 25,Huawei,5716377,12,512,6.5,12MP,5000,Android,4.0,5/28/2023,False,Gaming
231,Huawei Max 25,Huawei,19022486,8,512,5.5,48MP,4500,Android,2.1,2023-03-09 00:00:00,True,Daily
232,Huawei Max 26,Huawei,8428596,12,64,6.1,108MP,4000,Android,2.3,4/17/2024,False,Photographer
233,Huawei Max 27,Huawei,21976797,4,64,6.7,64MP,6000,Android,1.9,8/13/2023,False,Photographer
234,Huawei Max 27,Huawei,16040201,8,128,6.7,64MP,5000,Android,3.2,10/31/2019,True,Photographer
235,Huawei Max 29,Huawei,23834216,4,128,6.8,64MP,6000,Android,1.2,12/15/2019,False,Photographer
236,Huawei Max 30,Huawei,4640930,6,64,6.4,48MP,6000,Android,1.6,5/16/2020,False,Daily
237,Huawei Max 5,Huawei,19533545,16,512,6.8,48MP,4500,Android,3.3,12/27/2023,True,Gaming
238,Huawei Max 5,Huawei,14935101,8,512,6.7,64MP,6000,Android,1.3,11/26/2022,True,Photographer
239,Huawei Max 5,Huawei,24023664,4,512,6.5,108MP,4000,Android,2.9,8/29/2021,True,Photographer
240,Huawei Max 6,Huawei,4136130,8,512,6.8,108MP,4000,Android,4.2,2/14/2024,True,Photographer
241,Huawei Max 6,Huawei,12924483,12,256,6.4,50MP,4500,Android,3.5,9/30/2019,False,Photographer
